Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	Dist	FK	PK	PKatt	xG	npxG	npxG/Sh	G-xG	np:G-xG	team_id	Team	Rk
Boulaye Dia	snSEN	FWMF	Salernitana	26-197	1996	28.0	16	47	21	44.7	1.68	0.75	0.32	0.71	15.0	0	1	1	8.8	8.0	0.17	+7.2	+7.0	6480	Salernitana	0
Victor Osimhen	ngNGA	FW	Napoli	24-154	1998	27.7	25	128	51	39.8	4.62	1.84	0.19	0.47	12.6	1	1	2	20.4	18.8	0.15	+4.6	+5.2	9875	Napoli	1
Ademola Lookman	ngNGA	FWMF	Atalanta	25-224	1997	18.9	13	47	22	46.8	2.49	1.17	0.21	0.45	15.7	1	3	3	8.9	6.5	0.14	+4.1	+3.5	8524	Atalanta	2
Khvicha Kvaratskhelia	geGEO	FW	Napoli	22-109	2001	27.0	12	81	30	37.0	3.00	1.11	0.12	0.33	19.0	3	2	2	8.1	6.5	0.08	+3.9	+3.5	9875	Napoli	3
Lautaro Martínez	arARG	FW	Inter	25-283	1997	28.0	21	124	51	41.1	4.43	1.82	0.16	0.39	15.1	0	1	2	18.1	16.5	0.14	+2.9	+3.5	8636	Inter	4
Antonio Candreva	itITA	MFDF	Salernitana	36-093	1987	29.3	7	44	19	43.2	1.50	0.65	0.16	0.37	21.9	3	0	0	3.6	3.6	0.08	+3.4	+3.4	6480	Salernitana	5
Mattia Zaccagni	itITA	FW	Lazio	27-350	1995	30.5	10	54	22	40.7	1.77	0.72	0.17	0.41	16.9	1	1	1	6.5	5.7	0.11	+3.5	+3.3	8543	Lazio	6
Rafael Leão	ptPOR	FWMF	Milan	23-356	1999	25.9	13	88	27	30.7	3.40	1.04	0.15	0.48	18.1	0	0	0	9.7	9.7	0.11	+3.3	+3.3	8564	Milan	7
Antonio Sanabria	pyPAR	FW	Torino	27-089	1996	26.0	12	63	23	36.5	2.42	0.88	0.17	0.48	13.1	0	1	1	8.7	7.9	0.13	+3.3	+3.1	9804	Torino	8
Felipe Anderson	brBRA	FW	Lazio	30-047	1993	31.9	9	41	23	56.1	1.29	0.72	0.22	0.39	15.1	0	0	0	6.0	6.0	0.15	+3.0	+3.0	8543	Lazio	9
Tammy Abraham	eng ENG	FW	Roma	25-242	1997	24.1	8	62	28	45.2	2.57	1.16	0.13	0.29	12.0	0	0	0	10.8	10.8	0.17	-2.8	-2.8	8686	Roma	10
Francesco Caputo	it  ITA	FW	Empoli	35-299	1987	19.0	5	40	15	37.5	2.11	0.79	0.08	0.20	12.7	0	2	2	7.5	5.9	0.16	-2.5	-2.9	8534	Empoli	11
Albin Ekdal	se  SWE	MF	Spezia	33-308	1989	19.2	0	19	4	21.1	0.99	0.21	0.00	0.00	14.4	0	0	0	2.9	2.9	0.16	-2.9	-2.9	9881	Spezia	12
Nemanja Radonjić	rs  SRB	MF,FW	Torino	27-106	1996	16.2	2	52	17	32.7	3.20	1.05	0.04	0.12	17.5	0	0	0	5.0	5.0	0.10	-3.0	-3.0	9804	Torino	13
Lorenzo Pellegrini	it  ITA	MF	Roma	26-347	1996	27.3	4	59	16	27.1	2.16	0.59	0.03	0.13	21.9	9	2	3	7.4	5.0	0.09	-3.4	-3.0	8686	Roma	14
Gerard Deulofeu	es  ESP	FW	Udinese	29-080	1994	13.5	2	44	12	27.3	3.27	0.89	0.05	0.17	17.4	10	0	0	5.1	5.1	0.11	-3.1	-3.1	8600	Udinese	15
Krzysztof Piątek	pl  POL	FW	Salernitana	27-335	1995	22.8	4	56	19	33.9	2.46	0.83	0.05	0.16	15.5	1	1	1	8.2	7.5	0.13	-4.2	-4.5	6480	Salernitana	16
Kevin Lasagna	it  ITA	FW,MF	Hellas Verona	30-295	1992	17.5	1	52	11	21.2	2.98	0.63	0.02	0.09	18.2	0	0	0	6.0	6.0	0.12	-5.0	-5.0	9876	Hellas Verona	17